Player,Pos,Ht,Wt,Birth Date,Country,Exp,College,Team
Saddiq Bey,SF,6-7,215,"April 9, 1999",us,2,Villanova,ATL
Bogdan Bogdanović,SG,6-5,220,"August 18, 1992",rs,5,,ATL
Clint Capela,C,6-10,240,"May 18, 1994",ch,8,,ATL
John Collins,PF,6-9,235,"September 23, 1997",us,5,Wake Forest,ATL
Jarrett Culver,SF,6-6,195,"February 20, 1999",us,3,Texas Tech,ATL
Bruno Fernando,C,6-9,240,"August 15, 1998",ao,3,Maryland,ATL
Trent Forrest,SG,6-4,210,"June 12, 1998",us,2,Florida State,ATL
AJ Griffin,SF,6-6,222,"August 25, 2003",us,R,Duke,ATL
Aaron Holiday,PG,6-0,185,"September 30, 1996",us,4,UCLA,ATL
Justin Holiday,SF,6-6,180,"April 5, 1989",us,9,Washington,ATL
De'Andre Hunter,SF,6-8,225,"December 2, 1997",us,3,Virginia,ATL
Jalen Johnson,SF,6-9,220,"December 18, 2001",us,1,Duke,ATL
Frank Kaminsky,C,7-0,240,"April 4, 1993",us,7,Wisconsin,ATL
Vit Krejci,PG,6-8,195,"June 19, 2000",cz,1,,ATL
Tyrese Martin,SG,6-6,215,"March 7, 1999",us,R,"Rhode Island, UConn",ATL
Garrison Mathews,SG,6-5,215,"October 24, 1996",us,3,Lipscomb,ATL
Dejounte Murray,SG,6-5,180,"September 19, 1996",us,5,Washington,ATL
Onyeka Okongwu,C,6-8,235,"December 11, 2000",us,2,USC,ATL
Donovan Williams,SG,6-6,190,"September 6, 2001",us,R,"Texas, UNLV",ATL
Trae Young,PG,6-1,164,"September 19, 1998",us,4,Oklahoma,ATL
Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us,6,Virginia,BOS
Jaylen Brown,SF,6-6,223,"October 24, 1996",us,6,California,BOS
Justin Champagnie,SF,6-6,200,"June 29, 2001",us,1,Pitt,BOS
JD Davison,SG,6-1,195,"October 3, 2002",us,R,Alabama,BOS
Blake Griffin,C,6-9,250,"March 16, 1989",us,12,Oklahoma,BOS
Sam Hauser,SF,6-8,215,"December 8, 1997",us,1,"Marquette, Virginia",BOS
Al Horford,C,6-9,240,"June 3, 1986",do,15,Florida,BOS
Justin Jackson,SF,6-8,220,"March 28, 1995",us,5,UNC,BOS
Mfiondu Kabengele,PF,6-9,250,"August 14, 1997",ca,2,Florida State,BOS
Luke Kornet,C,7-2,250,"July 15, 1995",us,5,Vanderbilt,BOS
Mike Muscala,C,6-10,240,"July 1, 1991",us,9,Bucknell,BOS
Payton Pritchard,PG,6-1,195,"January 28, 1998",us,2,Oregon,BOS
Marcus Smart,PG,6-3,220,"March 6, 1994",us,8,Oklahoma State,BOS
Jayson Tatum,SF,6-8,210,"March 3, 1998",us,5,Duke,BOS
Noah Vonleh,C,6-10,257,"August 24, 1995",us,7,Indiana,BOS
Derrick White,SG,6-4,190,"July 2, 1994",us,5,"Colorado-Colorado Springs, Colorado",BOS
Grant Williams,PF,6-6,236,"November 30, 1998",us,3,Tennessee,BOS
Robert Williams,C,6-9,237,"October 17, 1997",us,4,Texas A&M,BOS
Mikal Bridges,SG,6-6,209,"August 30, 1996",us,4,Villanova,BRK
Moses Brown,C,7-2,245,"October 13, 1999",us,3,UCLA,BRK
Nic Claxton,C,6-11,215,"April 17, 1999",us,3,Georgia,BRK
Seth Curry,SG,6-1,185,"August 23, 1990",us,8,"Liberty, Duke",BRK
Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us,8,Colorado,BRK
David Duke Jr.,SG,6-5,205,"October 13, 1999",us,1,Providence,BRK
Kevin Durant,PF,6-11,240,"September 29, 1988",us,14,Texas,BRK
Kessler Edwards,SF,6-8,215,"August 9, 2000",us,1,Pepperdine,BRK
Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us,6,Florida,BRK
RaiQuan Gray,PF,6-8,260,"July 7, 1999",us,R,Florida State,BRK
Joe Harris,SF,6-6,220,"September 6, 1991",us,8,Virginia,BRK
Kyrie Irving,PG,6-2,195,"March 23, 1992",au,11,Duke,BRK
Cameron Johnson,PF,6-8,210,"March 3, 1996",us,3,"Pitt, UNC",BRK
Patty Mills,PG,6-2,180,"August 11, 1988",au,13,Saint Mary's,BRK
Markieff Morris,PF,6-9,245,"September 2, 1989",us,11,Kansas,BRK
Nerlens Noel,C,6-10,220,"April 10, 1994",us,8,Kentucky,BRK
Royce O'Neale,SF,6-4,226,"June 5, 1993",us,5,"Denver, Baylor",BRK
Day'Ron Sharpe,C,6-11,265,"November 6, 2001",us,1,UNC,BRK
Ben Simmons,PG,6-10,240,"July 20, 1996",au,4,LSU,BRK
Dru Smith,SG,6-3,203,"December 30, 1997",us,R,"University of Evansville, Missouri",BRK
Edmond Sumner,SG,6-4,196,"December 31, 1995",us,4,Xavier,BRK
Cam Thomas,SG,6-4,210,"October 13, 2001",jp,1,LSU,BRK
T.J. Warren,PF,6-8,220,"September 5, 1993",us,7,NC State,BRK
Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp,4,George Washington,BRK
Alondes Williams,SG,6-4,210,"June 19, 1999",us,R,"Triton College, Oklahoma, Wake Forest",BRK
LaMelo Ball,PG,6-7,180,"August 22, 2001",us,2,,CHO
James Bouknight,SG,6-5,190,"September 18, 2000",us,1,UConn,CHO
Gordon Hayward,SF,6-7,225,"March 23, 1990",us,12,Butler,CHO
Kai Jones,C,6-11,218,"January 19, 2001",bs,1,Texas,CHO
Théo Maledon,PG,6-4,175,"June 12, 2001",fr,2,,CHO
Cody Martin,SF,6-5,205,"September 28, 1995",us,3,"NC State, Nevada",CHO
Jalen McDaniels,SF,6-9,205,"January 31, 1998",us,3,San Diego State,CHO
Bryce McGowens,SG,6-7,179,"November 8, 2002",us,R,Nebraska,CHO
Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua,4,Kansas,CHO
Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",us,7,Kansas,CHO
Mason Plumlee,C,6-10,254,"March 5, 1990",us,9,Duke,CHO
Nick Richards,C,7-0,245,"November 29, 1997",jm,2,Kentucky,CHO
Terry Rozier,SG,6-1,190,"March 17, 1994",us,7,Louisville,CHO
Kobi Simmons,SG,6-5,166,"July 4, 1997",us,2,Arizona,CHO
Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us,5,NC State,CHO
Xavier Sneed,SF,6-5,215,"December 21, 1997",us,1,Kansas State,CHO
JT Thor,PF,6-10,205,"August 26, 2002",us,1,Auburn,CHO
P.J. Washington,PF,6-7,230,"August 23, 1998",us,3,Kentucky,CHO
Mark Williams,C,7-0,241,"December 16, 2001",us,R,Duke,CHO
Patrick Beverley,PG,6-2,180,"July 12, 1988",us,10,Arkansas,CHI
Tony Bradley,C,6-10,248,"January 8, 1998",us,5,UNC,CHI
Alex Caruso,PG,6-5,186,"February 28, 1994",us,5,Texas A&M,CHI
DeMar DeRozan,SF,6-6,220,"August 7, 1989",us,13,USC,CHI
Ayo Dosunmu,SG,6-5,200,"January 17, 2000",us,1,Illinois,CHI
Goran Dragić,PG,6-4,190,"May 6, 1986",si,14,,CHI
Andre Drummond,C,6-11,279,"August 10, 1993",us,10,UConn,CHI
Javonte Green,SF,6-4,205,"July 23, 1993",us,3,Radford,CHI
Malcolm Hill,SF,6-6,220,"October 26, 1995",us,1,Illinois,CHI
Carlik Jones,PG,6-1,185,"December 23, 1997",us,1,"Radford, Louisville",CHI
Derrick Jones Jr.,PF,6-5,210,"February 15, 1997",us,6,UNLV,CHI
Zach LaVine,SG,6-5,200,"March 10, 1995",us,8,UCLA,CHI
Marko Simonovic,C,6-11,216,"October 15, 1999",me,1,,CHI
Terry Taylor,PF,6-5,230,"September 23, 1999",us,1,Austin Peay State University,CHI
Dalen Terry,SG,6-7,195,"July 12, 2002",us,R,Arizona,CHI
Nikola Vučević,C,6-10,260,"October 24, 1990",ch,11,USC,CHI
Coby White,SG,6-5,195,"February 16, 2000",us,3,UNC,CHI
Patrick Williams,PF,6-7,215,"August 26, 2001",us,2,Florida State,CHI
Jarrett Allen,C,6-11,243,"April 21, 1998",us,5,Texas,CLE
Mamadi Diakite,C,6-9,228,"January 21, 1997",gn,2,Virginia,CLE
Darius Garland,PG,6-1,192,"January 26, 2000",us,3,Vanderbilt,CLE
Danny Green,SG,6-6,215,"June 22, 1987",us,13,UNC,CLE
Caris LeVert,SG,6-6,205,"August 25, 1994",us,6,Michigan,CLE
Robin Lopez,C,7-1,281,"April 1, 1988",us,14,Stanford,CLE
Kevin Love,PF,6-8,251,"September 7, 1988",us,14,UCLA,CLE
Sam Merrill,SG,6-4,205,"May 15, 1996",us,2,Utah State University,CLE
Donovan Mitchell,SG,6-3,215,"September 7, 1996",us,5,Louisville,CLE
Evan Mobley,PF,6-11,215,"June 18, 2001",us,1,USC,CLE
Isaiah Mobley,PF,6-8,240,"September 24, 1999",us,R,USC,CLE
Raul Neto,PG,6-1,180,"May 19, 1992",br,7,,CLE
Isaac Okoro,SF,6-5,225,"January 26, 2001",us,2,Auburn,CLE
Cedi Osman,SF,6-7,230,"April 8, 1995",mk,5,,CLE
Ricky Rubio,PG,6-2,190,"October 21, 1990",es,11,,CLE
Lamar Stevens,SF,6-6,230,"July 9, 1997",us,2,Penn State,CLE
Dean Wade,PF,6-9,228,"November 20, 1996",us,3,Kansas State,CLE
Dylan Windler,SF,6-6,196,"September 22, 1996",us,2,Belmont,CLE
Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv,6,,DAL
Reggie Bullock,SF,6-6,205,"March 16, 1991",us,9,UNC,DAL
Facundo Campazzo,PG,5-10,195,"March 23, 1991",ar,2,,DAL
Spencer Dinwiddie,SG,6-5,215,"April 6, 1993",us,8,Colorado,DAL
Luka Dončić,PG,6-7,230,"February 28, 1999",si,4,,DAL
Tyler Dorsey,SF,6-5,183,"February 18, 1996",us,2,Oregon,DAL
Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us,6,Florida,DAL
Josh Green,SG,6-5,200,"November 16, 2000",au,2,Arizona,DAL
Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,9,Michigan,DAL
Jaden Hardy,SG,6-4,198,"July 5, 2002",us,R,,DAL
Justin Holiday,SF,6-6,180,"April 5, 1989",us,9,Washington,DAL
Kyrie Irving,SG,6-2,195,"March 23, 1992",au,11,Duke,DAL
Maxi Kleber,PF,6-10,240,"January 29, 1992",de,5,,DAL
A.J. Lawson,SG,6-6,179,"July 15, 2000",ca,R,South Carolina,DAL
JaVale McGee,C,7-0,270,"January 19, 1988",us,14,Nevada,DAL
Markieff Morris,PF,6-9,245,"September 2, 1989",us,11,Kansas,DAL
Frank Ntilikina,SG,6-4,200,"July 28, 1998",be,5,,DAL
Theo Pinson,SG,6-5,212,"November 5, 1995",us,4,UNC,DAL
Dwight Powell,C,6-10,240,"July 20, 1991",ca,8,Stanford,DAL
Chris Silva,PF,6-8,234,"September 19, 1996",ga,3,South Carolina,DAL
Kemba Walker,PG,6-0,184,"May 8, 1990",us,11,UConn,DAL
Christian Wood,C,6-8,214,"September 27, 1995",us,6,UNLV,DAL
McKinley Wright IV,PG,6-0,196,"October 25, 1998",us,1,Colorado,DAL
Christian Braun,SG,6-6,218,"April 17, 2001",us,R,Kansas,DEN
Bruce Brown,SF,6-4,202,"August 15, 1996",us,4,Miami (FL),DEN
Thomas Bryant,C,6-10,248,"July 31, 1997",us,5,Indiana,DEN
Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us,9,Georgia,DEN
Vlatko Čančar,PF,6-8,236,"April 10, 1997",si,3,,DEN
Aaron Gordon,PF,6-8,235,"September 16, 1995",us,8,Arizona,DEN
Jeff Green,PF,6-8,235,"August 28, 1986",us,14,Georgetown,DEN
Bones Hyland,PG,6-2,173,"September 14, 2000",us,1,VCU,DEN
Reggie Jackson,PG,6-2,208,"April 16, 1990",it,11,Boston College,DEN
Nikola Jokić,C,6-11,284,"February 19, 1995",rs,7,,DEN
DeAndre Jordan,C,6-11,265,"July 21, 1988",us,14,Texas A&M,DEN
Jamal Murray,PG,6-4,215,"February 23, 1997",ca,5,Kentucky,DEN
Zeke Nnaji,PF,6-9,240,"January 9, 2001",us,2,Arizona,DEN
Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us,3,Missouri,DEN
Davon Reed,SG,6-5,208,"June 11, 1995",us,3,Miami (FL),DEN
Ish Smith,PG,6-0,175,"July 5, 1988",us,12,Wake Forest,DEN
Peyton Watson,SG,6-8,200,"September 11, 2002",us,R,UCLA,DEN
Jack White,SF,6-7,225,"August 5, 1997",au,R,Duke,DEN
Marvin Bagley III,C,6-10,235,"March 14, 1999",us,4,Duke,DET
Saddiq Bey,SF,6-7,215,"April 9, 1999",us,2,Villanova,DET
Buddy Boeheim,SF,6-6,205,"November 11, 1999",us,R,Syracuse,DET
Bojan Bogdanović,PF,6-7,226,"April 18, 1989",ba,8,,DET
Alec Burks,SG,6-6,214,"July 20, 1991",us,11,Colorado,DET
Cade Cunningham,PG,6-6,220,"September 25, 2001",us,1,Oklahoma State,DET
Hamidou Diallo,SF,6-5,202,"July 31, 1998",us,4,Kentucky,DET
Jalen Duren,C,6-10,250,"November 18, 2003",us,R,Memphis,DET
R.J. Hampton,SG,6-4,175,"February 7, 2001",us,2,,DET
Killian Hayes,PG,6-5,195,"July 27, 2001",us,2,,DET
Jaden Ivey,SG,6-4,195,"February 13, 2002",us,R,Purdue,DET
Cory Joseph,PG,6-2,200,"August 20, 1991",ca,11,Texas,DET
Braxton Key,SF,6-8,230,"February 14, 1997",us,1,"Alabama, Virginia",DET
Kevin Knox,SF,6-7,215,"August 11, 1999",us,4,Kentucky,DET
Isaiah Livers,PF,6-7,230,"July 28, 1998",us,1,Michigan,DET
Rodney McGruder,SG,6-4,205,"July 29, 1991",us,6,Kansas State,DET
Nerlens Noel,C,6-10,220,"April 10, 1994",us,8,Kentucky,DET
Eugene Omoruyi,SF,6-7,244,"February 14, 1997",ng,1,"Rutgers University, Oregon",DET
Jared Rhoden,SG,6-6,210,"August 27, 1999",us,R,Seton Hall,DET
Isaiah Stewart,C,6-8,250,"May 22, 2001",us,2,Washington,DET
Stanley Umude,SG,6-6,210,"April 12, 1999",us,R,"South Dakota, Arkansas",DET
James Wiseman,C,7-0,240,"March 31, 2001",us,1,Memphis,DET
Patrick Baldwin Jr.,SF,6-9,220,"November 18, 2002",us,R,UW-Milwaukee,GSW
Stephen Curry,PG,6-2,185,"March 14, 1988",us,13,Davidson,GSW
Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us,4,Villanova,GSW
Draymond Green,PF,6-6,230,"March 4, 1990",us,10,Michigan State,GSW
JaMychal Green,PF,6-8,227,"June 21, 1990",us,8,Alabama,GSW
Andre Iguodala,PF,6-6,215,"January 28, 1984",us,18,Arizona,GSW
Ty Jerome,SG,6-5,195,"July 8, 1997",us,3,Virginia,GSW
Jonathan Kuminga,PF,6-8,210,"October 6, 2002",cd,1,,GSW
Anthony Lamb,SF,6-6,227,"January 20, 1998",us,2,University of Vermont,GSW
Kevon Looney,C,6-9,222,"February 6, 1996",us,7,UCLA,GSW
Moses Moody,SG,6-6,205,"May 31, 2002",us,1,Arkansas,GSW
Gary Payton II,SG,6-2,190,"December 1, 1992",us,6,Oregon State,GSW
Jordan Poole,PG,6-4,194,"June 19, 1999",us,3,Michigan,GSW
Lester Quinones,SG,6-5,208,"November 16, 2000",us,R,Memphis,GSW
Ryan Rollins,PG,6-4,180,"July 3, 2002",us,R,Toledo,GSW
Klay Thompson,SF,6-6,215,"February 8, 1990",us,9,Washington State,GSW
Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca,8,Kansas,GSW
James Wiseman,C,7-0,240,"March 31, 2001",us,1,Memphis,GSW
Josh Christopher,SG,6-5,215,"December 8, 2001",us,1,Arizona State,HOU
Darius Days,SF,6-7,245,"October 20, 1999",us,R,LSU,HOU
Tari Eason,PF,6-8,216,"May 10, 2001",us,R,"Cincinnati, LSU",HOU
Bruno Fernando,C,6-9,240,"August 15, 1998",ao,3,Maryland,HOU
Usman Garuba,C,6-8,220,"March 9, 2002",es,1,,HOU
Eric Gordon,SG,6-3,215,"December 25, 1988",us,14,Indiana,HOU
Jalen Green,SG,6-4,178,"February 9, 2002",us,1,,HOU
Trevor Hudgins,PG,6-0,180,"March 23, 1999",us,R,Northwest Missouri State University,HOU
Frank Kaminsky,C,7-0,240,"April 4, 1993",us,7,Wisconsin,HOU
Boban Marjanović,C,7-4,290,"August 15, 1988",rs,7,,HOU
KJ Martin,SF,6-6,215,"January 6, 2001",us,2,,HOU
Garrison Mathews,SG,6-5,215,"October 24, 1996",us,3,Lipscomb,HOU
Daishen Nix,PG,6-5,224,"February 13, 2002",us,1,,HOU
Kevin Porter Jr.,PG,6-4,203,"May 4, 2000",us,3,USC,HOU
Alperen Sengun,C,6-11,235,"July 25, 2002",tr,1,,HOU
Jabari Smith Jr.,PF,6-11,220,"May 13, 2003",us,R,Auburn,HOU
Jae'Sean Tate,SF,6-4,230,"October 28, 1995",us,2,Ohio State,HOU
TyTy Washington Jr.,PG,6-3,197,"November 15, 2001",us,R,Kentucky,HOU
Goga Bitadze,C,6-11,250,"July 20, 1999",ge,3,,IND
Oshae Brissett,PF,6-7,210,"June 20, 1998",ca,3,Syracuse,IND
Kendall Brown,SG,6-8,205,"May 11, 2003",us,R,Baylor,IND
Chris Duarte,SF,6-6,190,"June 13, 1997",do,1,Oregon,IND
Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us,2,Iowa State,IND
Buddy Hield,SF,6-4,220,"December 17, 1992",bs,6,Oklahoma,IND
George Hill,SG,6-4,188,"May 4, 1986",us,14,IUPUI,IND
Isaiah Jackson,C,6-10,206,"January 10, 2002",us,1,Kentucky,IND
James Johnson,PF,6-7,240,"February 20, 1987",us,13,Wake Forest,IND
Bennedict Mathurin,SG,6-6,210,"June 19, 2002",ca,R,Arizona,IND
T.J. McConnell,PG,6-1,190,"March 25, 1992",us,7,"Duquesne, Arizona",IND
Andrew Nembhard,SG,6-5,193,"January 16, 2000",ca,R,"Florida, Gonzaga",IND
Aaron Nesmith,SF,6-5,215,"October 16, 1999",us,2,Vanderbilt,IND
Jordan Nwora,SF,6-8,225,"September 9, 1998",us,2,Louisville,IND
Trevelin Queen,SG,6-6,190,"February 25, 1997",us,1,"College of Marin, New Mexico Military Institute, New Mexico State",IND
Jalen Smith,C,6-10,215,"March 16, 2000",us,2,Maryland,IND
Terry Taylor,PF,6-5,230,"September 23, 1999",us,1,Austin Peay State University,IND
Daniel Theis,C,6-8,245,"April 4, 1992",de,5,,IND
Myles Turner,C,6-11,250,"March 24, 1996",us,7,Texas,IND
Gabe York,SG,6-3,185,"August 2, 1993",us,1,Arizona,IND
Nicolas Batum,PF,6-8,230,"December 14, 1988",fr,14,,LAC
Brandon Boston Jr.,SF,6-7,185,"November 28, 2001",us,1,Kentucky,LAC
Moses Brown,C,7-2,245,"October 13, 1999",us,3,UCLA,LAC
Amir Coffey,SF,6-7,210,"June 17, 1997",us,3,Minnesota,LAC
Robert Covington,PF,6-7,209,"December 14, 1990",us,9,Tennessee State,LAC
Moussa Diabaté,C,6-11,210,"January 21, 2002",fr,R,Michigan,LAC
Paul George,SF,6-8,220,"May 2, 1990",us,12,Fresno State,LAC
Eric Gordon,SG,6-3,215,"December 25, 1988",us,14,Indiana,LAC
Bones Hyland,PG,6-2,173,"September 14, 2000",us,1,VCU,LAC
Reggie Jackson,PG,6-2,208,"April 16, 1990",it,11,Boston College,LAC
Luke Kennard,SG,6-5,206,"June 24, 1996",us,5,Duke,LAC
Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,10,San Diego State,LAC
Terance Mann,SG,6-5,215,"October 18, 1996",us,3,Florida State,LAC
Xavier Moon,SG,6-2,165,"January 2, 1995",us,1,"Northwest Florida State College, Morehead State University",LAC
Marcus Morris,PF,6-8,218,"September 2, 1989",us,11,Kansas,LAC
Mason Plumlee,C,6-10,254,"March 5, 1990",us,9,Duke,LAC
Norman Powell,SG,6-3,215,"May 25, 1993",us,7,UCLA,LAC
Jason Preston,PG,6-4,187,"August 10, 1999",us,R,Ohio University,LAC
John Wall,PG,6-3,210,"September 6, 1990",us,10,Kentucky,LAC
Russell Westbrook,PG,6-4,200,"November 12, 1988",us,14,UCLA,LAC
Ivica Zubac,C,7-0,240,"March 18, 1997",ba,6,,LAC
Mo Bamba,C,7-0,231,"May 12, 1998",us,4,Texas,LAL
Malik Beasley,SG,6-4,187,"November 26, 1996",us,6,Florida State,LAL
Patrick Beverley,SG,6-2,180,"July 12, 1988",us,10,Arkansas,LAL
Sterling Brown,SF,6-5,219,"February 10, 1995",us,5,SMU,LAL
Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us,4,Oregon,LAL
Thomas Bryant,C,6-10,248,"July 31, 1997",us,5,Indiana,LAL
Max Christie,SG,6-6,190,"February 10, 2003",us,R,Michigan State,LAL
Anthony Davis,C,6-10,253,"March 11, 1993",us,10,Kentucky,LAL
Wenyen Gabriel,C,6-9,205,"March 26, 1997",sd,3,Kentucky,LAL
Rui Hachimura,PF,6-8,230,"February 8, 1998",jp,3,Gonzaga,LAL
Shaquille Harrison,SG,6-4,190,"October 6, 1993",us,5,Tulsa,LAL
LeBron James,PF,6-9,250,"December 30, 1984",us,19,,LAL
Damian Jones,C,6-11,245,"June 30, 1995",us,6,Vanderbilt,LAL
Kendrick Nunn,SG,6-2,190,"August 3, 1995",us,2,"Illinois, Oakland",LAL
Scotty Pippen Jr.,PG,6-1,185,"November 10, 2000",us,R,Vanderbilt,LAL
Austin Reaves,SG,6-5,206,"May 29, 1998",us,1,"Wichita State, Oklahoma",LAL
Davon Reed,SG,6-5,208,"June 11, 1995",us,3,Miami (FL),LAL
D'Angelo Russell,PG,6-3,193,"February 23, 1996",us,7,Ohio State,LAL
Matt Ryan,SF,6-6,215,"April 17, 1997",us,1,"Notre Dame, Vanderbilt, Chattanooga",LAL
Dennis Schröder,PG,6-1,172,"September 15, 1993",de,9,,LAL
Cole Swider,SF,6-9,220,"May 8, 1999",us,R,"Villanova, Syracuse",LAL
Tristan Thompson,C,6-9,254,"March 13, 1991",ca,11,Texas,LAL
Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",us,3,Marquette,LAL
Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us,4,Kentucky,LAL
Lonnie Walker IV,SG,6-4,204,"December 14, 1998",us,4,Miami (FL),LAL
Russell Westbrook,PG,6-4,200,"November 12, 1988",us,14,UCLA,LAL
Steven Adams,C,6-11,265,"July 20, 1993",nz,9,Pitt,MEM
Santi Aldama,PF,6-11,224,"January 10, 2001",es,1,Loyola (MD),MEM
Desmond Bane,SG,6-5,215,"June 25, 1998",us,2,TCU,MEM
Dillon Brooks,SF,6-6,225,"January 22, 1996",ca,5,Oregon,MEM
Kennedy Chandler,PG,6-0,171,"September 16, 2002",us,R,Tennessee,MEM
Brandon Clarke,PF,6-8,215,"September 19, 1996",ca,3,"San Jose State, Gonzaga",MEM
Jacob Gilyard,PG,5-9,160,"July 14, 1998",us,R,Richmond,MEM
Danny Green,SG,6-6,215,"June 22, 1987",us,13,UNC,MEM
Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us,4,Michigan State,MEM
Tyus Jones,PG,6-1,196,"May 10, 1996",us,7,Duke,MEM
Luke Kennard,SG,6-5,206,"June 24, 1996",us,5,Duke,MEM
John Konchar,SF,6-5,210,"March 22, 1996",us,3,Purdue-Fort Wayne,MEM
Jake LaRavia,PF,6-8,235,"November 3, 2001",us,R,"Indiana State University, Wake Forest",MEM
Kenneth Lofton Jr.,PF,6-7,275,"August 14, 2002",us,R,Louisiana Tech,MEM
Ja Morant,PG,6-2,174,"August 10, 1999",us,3,Murray State,MEM
David Roddy,PF,6-4,255,"March 27, 2001",us,R,Colorado State,MEM
Xavier Tillman Sr.,C,6-8,245,"January 12, 1999",us,2,Michigan State,MEM
Vince Williams Jr.,SG,6-4,205,"August 30, 2000",us,R,VCU,MEM
Ziaire Williams,SF,6-9,215,"September 12, 2001",us,1,Stanford,MEM
Bam Adebayo,C,6-9,255,"July 18, 1997",us,5,Kentucky,MIA
Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us,R,San Francisco,MIA
